Title,URL,Sentiment,actual,Score
Mumbai and Kolkata set to gain seamless expressway connectivity by 2028,https://www.mypunepulse.com/mumbai-kolkata-set-to-gain-seamless-expressway-connectivity-by-2028/,POS,POS,0.7922656536102295
Alliance Air connects Chhattisgarh's Bilaspur to New Delhi and Kolkata,https://newsriveting.com/alliance-air-i-chhattisgarh-i-bilaspur-i-bilaspur-airport-i/,NEU,NEU,0.9672922492027283
"Republic Day Long Weekend: Spots near Delhi, Mumbai, Bengaluru, and Kolkata",https://www.hindustantimes.com/lifestyle/travel/republic-day-long-weekend-spots-near-delhi-mumbai-bengaluru-and-kolkata-101704786367586.html,NEU,POS,0.9624143242835999
Air India Express Launches Flights to Ayodhya Linking Bangalore & Kolkata,https://www.indianeagle.com/traveldiary/air-india-express-launches-flights-to-ayodhya-connecting-bangalore-and-kolkata/,NEU,POS,0.9699753522872925
Direct Flight Service Between Rourkela And Kolkata To Begin Soon,https://www.ndtv.com/india-news/direct-flight-service-between-rourkela-and-kolkata-to-begin-soon-4747416,NEU,POS,0.9687637686729431
Women celebrate 'Sindoor Khela' with great joy and fervour in Delhi and Kolkata,https://www.aninews.in/news/national/general-news/women-celebrate-sindoor-khela-with-great-joy-and-fervour-in-delhi-and-kolkata20231024144832,POS,NEU,0.9925385117530823
Flights from Bhopal to Pune and Kolkata on hold,https://www.mypunepulse.com/flights-from-bhopal-to-pune-and-kolkata-on-hold/,NEG,NEG,0.8239853382110596
Bhopal's Kolkata & Pune flights on hold,https://timesofindia.indiatimes.com/city/bhopal/bhopals-kolkata-pune-flights-on-hold/articleshow/104354915.cms,NEG,NEG,0.7481942176818848
Tamil Nadu and Kolkata's Chandrayaan-3 themed Ganesha pandal are all the rage,https://timesofindia.indiatimes.com/travel/travel-news/tamil-nadu-and-kolkatas-chandrayaan-3-themed-ganesha-pandal-are-all-the-rage/articleshow/103779039.cms,NEU,NEU,0.8377742767333984
Air India Flights from Chennai and Kolkata forced to Return Due to Poor Visibility in Port Blair; Passengers allege ...,https://www.andamansheekha.com/119256/,NEG,NEG,0.9456814527511597
Travel time for trains from Chennai to Hyderabad & Kolkata set to come down,https://m.economictimes.com/industry/transportation/railways/travel-time-for-trains-from-chennai-to-hyderabad-kolkata-set-to-come-down/articleshow/102798526.cms,NEU,POS,0.9461231827735901
"These two railway projects will help shorten travel time between Chennai and Hyderabad, Chennai and Kolka",https://timesofindia.indiatimes.com/city/chennai/these-two-railway-projects-will-help-shorten-travel-time-between-chennai-and-hyderabad-chennai-and-kolkata/articleshow/102775273.cms,NEU,NEU,0.7720080018043518
Akasa Air starts direct flights between Mumbai and Kolkata,https://www.moneycontrol.com/news/business/akasa-air-starts-direct-flights-between-mumbai-and-kolkata-10924021.html,NEU,POS,0.9357834458351135
Design Debate - Conversations in Chandigarh and Kolkata,https://www.architectandinteriorsindia.com/events/design-debate-conversations-in-chandigarh-and-kolkata,NEU,NEU,0.9770151376724243
"From army headquarters to airport and Kolkata port to school premises, International Yoga Day celebrated",https://timesofindia.indiatimes.com/city/kolkata/from-army-headquarters-to-airport-and-kolkata-port-to-school-premises-international-yoga-day-celebrated-with-fervor-in-city/articleshow/101180586.cms,POS,NEU,0.966794490814209
Daily flights between Cooch Behar and Kolkata from June 4,https://www.telegraphindia.com/my-kolkata/news/private-airline-operating-flight-between-cooch-behar-and-kolkata-to-run-the-service-daily-starting-june-4/cid/1941508,NEU,POS,0.9767152667045593
Flight service between Malda and Kolkata likely to begin soon,https://www.millenniumpost.in/bengal/flight-service-between-malda-and-kolkata-likely-to-begin-soon-519094,NEU,NEU,0.9414840936660767
Varanasi-Kolkata Greenfield Expressway To Reduce Travel Time Between Delhi And Kolkata To Just 17 Hours,https://english.jagran.com/india/varanasi-kolkata-greenfield-expressway-to-reduce-travel-time-between-delhi-and-kolkata-tojust17hours-10078068,NEU,NEU,0.9728719592094421
Arpan Bhowmik's 'Memories In Monochrome' Brings Life To Mumbai And Kolkata Cityscapes Of The Yesteryears,https://swirlster.ndtv.com/travel/arpan-bhowmiks-memories-in-monochrome-brings-life-to-mumbai-and-kolkata-cityscapes-of-the-yesteryears-3960783,NEU,POS,0.7575005292892456
